Class	eid	euri	elabel	tripleNum
Species	40	http://dbpedia.org/resource/Trachelipus_dimorphus	Trachelipus dimorphus	22
Work	41	http://dbpedia.org/resource/Foppt_den_Dämon!	Foppt den Dämon!	23
Work	42	http://dbpedia.org/resource/Hey_Boy_(Teddybears_song)	Hey Boy (Teddybears song)	46
Work	43	http://dbpedia.org/resource/King_of_the_Mountain_(film)	King of the Mountain (film)	44
Work	44	http://dbpedia.org/resource/Our_Leading_Citizen_(1939_film)	Our Leading Citizen (1939 film)	26
Work	45	http://dbpedia.org/resource/Simon_(2004_film)	Simon (2004 film)	22
Work	46	http://dbpedia.org/resource/Sketchy_EP_1	Sketchy EP 1	21
Work	47	http://dbpedia.org/resource/Sky_(Faye_Wong_album)	Sky (Faye Wong album)	38
Work	48	http://dbpedia.org/resource/Sting_Me	Sting Me	36
Work	49	http://dbpedia.org/resource/The_Crowd_Snores	The Crowd Snores	22
Work	50	http://dbpedia.org/resource/Touch_of_Death_(1961_film)	Touch of Death (1961 film)	20
Agent	51	http://dbpedia.org/resource/Ashot_I_of_Iberia	Ashot I of Iberia	68
Agent	52	http://dbpedia.org/resource/Cindy_Mackey	Cindy Mackey	50
Agent	53	http://dbpedia.org/resource/Edmund_Smith_Conklin	Edmund Smith Conklin	29
Agent	54	http://dbpedia.org/resource/Fabrice_Gautrat	Fabrice Gautrat	49
Agent	55	http://dbpedia.org/resource/Hiroshi_Mori_(writer)	Hiroshi Mori (writer)	57
Agent	56	http://dbpedia.org/resource/Momchil_Tsvetanov	Momchil Tsvetanov	75
Agent	57	http://dbpedia.org/resource/Najmadin_Shukr_Rauf	Najmadin Shukr Rauf	48
Agent	58	http://dbpedia.org/resource/Storme_Warren	Storme Warren	38
Agent	59	http://dbpedia.org/resource/Svyatoslav_Tanasov	Svyatoslav Tanasov	45
Agent	60	http://dbpedia.org/resource/William_Anthony_Hughes	William Anthony Hughes	55
Event	61	http://dbpedia.org/resource/1960_Glover_Trophy	1960 Glover Trophy	31
Event	62	http://dbpedia.org/resource/1967_Italian_Grand_Prix	1967 Italian Grand Prix	37
Event	63	http://dbpedia.org/resource/2008_Copa_América_–_FIFA_Futsal	2008 Copa América – FIFA Futsal	27
Event	64	http://dbpedia.org/resource/2008_Copa_del_Rey_Final	2008 Copa del Rey Final	26
Event	65	http://dbpedia.org/resource/2010_Belgian_Super_Cup	2010 Belgian Super Cup	25
Event	66	http://dbpedia.org/resource/2013_Slovak_Cup_Final	2013 Slovak Cup Final	24
Event	67	http://dbpedia.org/resource/Battle_of_Calicut_(1502)	Battle of Calicut (1502)	29
Event	68	http://dbpedia.org/resource/Battle_of_Cepeda_(1820)	Battle of Cepeda (1820)	25
Event	69	http://dbpedia.org/resource/Battle_on_the_Elster	Battle on the Elster	36
Event	70	http://dbpedia.org/resource/Operation_Hump	Operation Hump	54
Location	71	http://dbpedia.org/resource/Darreh_Dang	Darreh Dang	39
Location	72	http://dbpedia.org/resource/Jalalia,_Khyber_Pakhtunkhwa	Jalalia, Khyber Pakhtunkhwa	33
Location	73	http://dbpedia.org/resource/Kings_Ripton	Kings Ripton	37
Location	74	http://dbpedia.org/resource/Kotumachagi	Kotumachagi	37
Location	75	http://dbpedia.org/resource/Muławki	Muławki	35
Location	76	http://dbpedia.org/resource/Pinnacle_Mountain_(South_Carolina)	Pinnacle Mountain (South Carolina)	36
Location	77	http://dbpedia.org/resource/Saint-Raphaël,_Var	Saint-Raphaël, Var	67
Location	78	http://dbpedia.org/resource/Sauxillanges	Sauxillanges	35
Location	79	http://dbpedia.org/resource/Stara_Bučka	Stara Bučka	36
Location	80	http://dbpedia.org/resource/Zarudcze	Zarudcze	34
Species	81	http://dbpedia.org/resource/Amphisbaena_ridleyi	Amphisbaena ridleyi	35
Species	82	http://dbpedia.org/resource/Balanites	Balanites	21
Species	83	http://dbpedia.org/resource/Bryotropha_plantariella	Bryotropha plantariella	23
Species	84	http://dbpedia.org/resource/Hilarographa_excellens	Hilarographa excellens	22
Species	85	http://dbpedia.org/resource/Inverted_repeat-lacking_clade	Inverted repeat-lacking clade	23
Species	86	http://dbpedia.org/resource/Melaleuca_sheathiana	Melaleuca sheathiana	20
Species	87	http://dbpedia.org/resource/Pseudanos_trimaculatus	Pseudanos trimaculatus	23
Species	88	http://dbpedia.org/resource/Stemonoporus_laevifolius	Stemonoporus laevifolius	27
Species	89	http://dbpedia.org/resource/Thaia_saprophytica	Thaia saprophytica	21
Species	90	http://dbpedia.org/resource/Trichoscypha_cavalliensis	Trichoscypha cavalliensis	25
Work	91	http://dbpedia.org/resource/392_(album)	392 (album)	23
Work	92	http://dbpedia.org/resource/Drama_City	Drama City	31
Work	93	http://dbpedia.org/resource/If_(Glasvegas_song)	If (Glasvegas song)	25
Work	94	http://dbpedia.org/resource/Intensive_Care_Medicine_(journal)	Intensive Care Medicine (journal)	29
Work	95	http://dbpedia.org/resource/It's_Still_Rock_and_Roll_to_Me	It's Still Rock and Roll to Me	34
Work	96	http://dbpedia.org/resource/Politiken	Politiken	43
Work	97	http://dbpedia.org/resource/Rebel_Love_Song	Rebel Love Song	33
Work	98	http://dbpedia.org/resource/Terrorist_Threats	Terrorist Threats	51
Work	99	http://dbpedia.org/resource/Time_(Dave_Clark_album)	Time (Dave Clark album)	31
Work	100	http://dbpedia.org/resource/Wide_Awake_Drunk	Wide Awake Drunk	31
Film	101	http://data.linkedmdb.org/resource/film/12398	Men in White	42
Film	102	http://data.linkedmdb.org/resource/film/12710	Megaville	29
Film	103	http://data.linkedmdb.org/resource/film/14299	Briana Loves Jenna	26
Film	104	http://data.linkedmdb.org/resource/film/14438	Now You See Him, Now You Don't	40
Film	105	http://data.linkedmdb.org/resource/film/2108	Dumb & Dumberer	40
Film	106	http://data.linkedmdb.org/resource/film/2381	What's New Pussycat?	48
Film	107	http://data.linkedmdb.org/resource/film/2572	Biggie & Tupac	35
Film	108	http://data.linkedmdb.org/resource/film/4053	A Man, a Real One	39
Film	109	http://data.linkedmdb.org/resource/film/41006	The Incredibly True Adventure of Two Girls in Love	22
Film	110	http://data.linkedmdb.org/resource/film/41408	The Spiral Staircase	24
Film	111	http://data.linkedmdb.org/resource/film/41573	Broken Lance	27
Film	112	http://data.linkedmdb.org/resource/film/4501	Super-Warrior Defeat!! I'm the One who'll Win	38
Film	113	http://data.linkedmdb.org/resource/film/5232	The Mummy's Tomb	39
Film	114	http://data.linkedmdb.org/resource/film/6191	Satomi Hakkenden	32
Film	115	http://data.linkedmdb.org/resource/film/6213	The Handmaid's Tale	47
Film	116	http://data.linkedmdb.org/resource/film/6468	Magnum, P.I.	25
Film	117	http://data.linkedmdb.org/resource/film/70866	Routine Check Ups 4	25
Film	118	http://data.linkedmdb.org/resource/film/7348	Bill: On His Own	34
Film	119	http://data.linkedmdb.org/resource/film/7963	The Aftermath	30
Film	120	http://data.linkedmdb.org/resource/film/8446	Mighty Joe Young	35
Person	121	http://data.linkedmdb.org/resource/director/10100	Abel Ferrara (Director)	46
Person	122	http://data.linkedmdb.org/resource/director/10846	Paul Morris (Director)	48
Person	123	http://data.linkedmdb.org/resource/actor/29369	Arnold Schwarzenegger (Actor)	77
Person	124	http://data.linkedmdb.org/resource/actor/30569	Elsa Lanchester (Actor)	50
Person	125	http://data.linkedmdb.org/resource/actor/30598	Tom Courtenay (Actor)	50
Person	126	http://data.linkedmdb.org/resource/actor/31707	Margaret Colin (Actor)	34
Person	127	http://data.linkedmdb.org/resource/actor/32500	Byron Long (Actor)	52
Person	128	http://data.linkedmdb.org/resource/actor/32648	Tomokazu Seki (Actor)	35
Person	129	http://data.linkedmdb.org/resource/actor/33137	Maurice LaMarche (Actor)	60
Person	130	http://data.linkedmdb.org/resource/actor/34577	James Naughton (Actor)	34
Person	131	http://data.linkedmdb.org/resource/actor/36141	Francis Ng (Actor)	52
Person	132	http://data.linkedmdb.org/resource/actor/38225	Dante Basco (Actor)	37
Person	133	http://data.linkedmdb.org/resource/actor/38875	James Hong (Actor)	51
Person	134	http://data.linkedmdb.org/resource/actor/39725	Tom Hollander (Actor)	40
Person	135	http://data.linkedmdb.org/resource/director/416	Fred C. Newmeyer (Director)	52
Person	136	http://data.linkedmdb.org/resource/actor/43265	Prakash Raj (Actor)	208
Person	137	http://data.linkedmdb.org/resource/actor/52869	Sara Berner (Actor)	32
Person	138	http://data.linkedmdb.org/resource/actor/62725	Rod Daily (Actor)	42
Person	139	http://data.linkedmdb.org/resource/actor/67878	Devyn Foster (Actor)	44
Person	140	http://data.linkedmdb.org/resource/director/8669	Ringo Lam (Director)	36
