eUri	outTNum	inTNum	totalTNum
http://data.linkedmdb.org/resource/film/7348	30	4	34
http://data.linkedmdb.org/resource/film/5232	30	9	39
http://data.linkedmdb.org/resource/film/70866	24	1	25
http://data.linkedmdb.org/resource/film/41006	20	2	22
http://data.linkedmdb.org/resource/film/4053	31	8	39
http://data.linkedmdb.org/resource/actor/34577	21	13	34
http://data.linkedmdb.org/resource/actor/32500	30	22	52
http://data.linkedmdb.org/resource/actor/67878	26	18	44
http://data.linkedmdb.org/resource/actor/38225	23	14	37
http://data.linkedmdb.org/resource/director/416	29	23	52
http://data.linkedmdb.org/resource/actor/33137	34	26	60
http://data.linkedmdb.org/resource/actor/38875	29	22	51
http://data.linkedmdb.org/resource/actor/29369	43	34	77
http://data.linkedmdb.org/resource/actor/39725	24	16	40
http://data.linkedmdb.org/resource/director/10100	26	20	46
http://data.linkedmdb.org/resource/actor/43265	108	100	208
http://data.linkedmdb.org/resource/actor/32648	21	14	35
http://data.linkedmdb.org/resource/actor/36141	30	22	52
http://data.linkedmdb.org/resource/actor/31707	21	13	34
http://data.linkedmdb.org/resource/actor/52869	20	12	32
http://data.linkedmdb.org/resource/actor/30569	29	21	50
http://data.linkedmdb.org/resource/director/10846	27	21	48
http://data.linkedmdb.org/resource/actor/30598	30	20	50
http://data.linkedmdb.org/resource/director/8669	21	15	36
http://data.linkedmdb.org/resource/actor/62725	25	17	42
